link,title,audio_res,video_res
https://www.youtube.com/watch?v=PzxxEVdM1xI,Chapter 1: Introduction to the Animal Cell,140,315
https://www.youtube.com/watch?v=s1NzeCxAp7w,Chapter 2: The Nucleus and the Endoplasmic Reticulum,140,315
https://www.youtube.com/watch?v=7RFjJCqtcG8,"Chapter 3: The Golgi Complex, Lysosomes, and the Plasma Membrane",140,315
https://www.youtube.com/watch?v=fDVnKTT8CZE,Chapter 4: The Mitochondria,140,315
https://www.youtube.com/watch?v=zCArzXX5jEM,Chapter 5: Overview of a Plant Cell,140,315
https://www.youtube.com/watch?v=xoSWNLSnj1g,Chapter 6: Introduction to the DNA,140,315
https://www.youtube.com/watch?v=PmF4spLabbo,Chapter 7: RNA and Transcription,140,315
https://www.youtube.com/watch?v=qRUeM-IEdm8,Chapter 8: Translation (Protein Synthesis),140,315
